date,gloomy,isPartial
2011-01-02,76,False
2011-01-09,74,False
2011-01-16,85,False
2011-01-23,90,False
2011-01-30,71,False
2011-02-06,60,False
2011-02-13,77,False
2011-02-20,75,False
2011-02-27,69,False
2011-03-06,65,False
2011-03-13,50,False
2011-03-20,73,False
2011-03-27,84,False
2011-04-03,86,False
2011-04-10,69,False
2011-04-17,78,False
2011-04-24,74,False
2011-05-01,75,False
2011-05-08,61,False
2011-05-15,83,False
2011-05-22,69,False
2011-05-29,76,False
2011-06-05,74,False
2011-06-12,70,False
2011-06-19,92,False
2011-06-26,51,False
2011-07-03,47,False
2011-07-10,73,False
2011-07-17,51,False
2011-07-24,68,False
2011-07-31,72,False
2011-08-07,46,False
2011-08-14,66,False
2011-08-21,52,False
2011-08-28,79,False
2011-09-04,80,False
2011-09-11,59,False
2011-09-18,90,False
2011-09-25,65,False
2011-10-02,78,False
2011-10-09,65,False
2011-10-16,79,False
2011-10-23,83,False
2011-10-30,65,False
2011-11-06,59,False
2011-11-13,84,False
2011-11-20,51,False
2011-11-27,65,False
2011-12-04,59,False
2011-12-11,91,False
2011-12-18,79,False
2011-12-25,100,False
