date,gloomy,isPartial
2013-01-06,63,False
2013-01-13,61,False
2013-01-20,91,False
2013-01-27,100,False
2013-02-03,67,False
2013-02-10,66,False
2013-02-17,61,False
2013-02-24,61,False
2013-03-03,66,False
2013-03-10,69,False
2013-03-17,69,False
2013-03-24,74,False
2013-03-31,72,False
2013-04-07,56,False
2013-04-14,57,False
2013-04-21,61,False
2013-04-28,66,False
2013-05-05,65,False
2013-05-12,63,False
2013-05-19,56,False
2013-05-26,55,False
2013-06-02,54,False
2013-06-09,63,False
2013-06-16,50,False
2013-06-23,56,False
2013-06-30,59,False
2013-07-07,47,False
2013-07-14,39,False
2013-07-21,54,False
2013-07-28,68,False
2013-08-04,58,False
2013-08-11,50,False
2013-08-18,48,False
2013-08-25,51,False
2013-09-01,47,False
2013-09-08,59,False
2013-09-15,53,False
2013-09-22,68,False
2013-09-29,58,False
2013-10-06,77,False
2013-10-13,88,False
2013-10-20,67,False
2013-10-27,80,False
2013-11-03,60,False
2013-11-10,67,False
2013-11-17,64,False
2013-11-24,36,False
2013-12-01,85,False
2013-12-08,63,False
2013-12-15,36,False
2013-12-22,57,False
2013-12-29,56,False
