date,gloomy,isPartial
2012-01-01,59,False
2012-01-08,53,False
2012-01-15,60,False
2012-01-22,51,False
2012-01-29,60,False
2012-02-05,44,False
2012-02-12,47,False
2012-02-19,52,False
2012-02-26,61,False
2012-03-04,43,False
2012-03-11,41,False
2012-03-18,27,False
2012-03-25,45,False
2012-04-01,30,False
2012-04-08,48,False
2012-04-15,37,False
2012-04-22,41,False
2012-04-29,58,False
2012-05-06,40,False
2012-05-13,31,False
2012-05-20,38,False
2012-05-27,38,False
2012-06-03,45,False
2012-06-10,26,False
2012-06-17,34,False
2012-06-24,32,False
2012-07-01,44,False
2012-07-08,35,False
2012-07-15,100,False
2012-07-22,37,False
2012-07-29,98,False
2012-08-05,48,False
2012-08-12,48,False
2012-08-19,34,False
2012-08-26,56,False
2012-09-02,54,False
2012-09-09,44,False
2012-09-16,36,False
2012-09-23,68,False
2012-09-30,60,False
2012-10-07,61,False
2012-10-14,40,False
2012-10-21,57,False
2012-10-28,57,False
2012-11-04,35,False
2012-11-11,44,False
2012-11-18,67,False
2012-11-25,55,False
2012-12-02,53,False
2012-12-09,56,False
2012-12-16,38,False
2012-12-23,43,False
2012-12-30,43,False
