date,gloomy,isPartial
2015-01-04,46,False
2015-01-11,72,False
2015-01-18,67,False
2015-01-25,67,False
2015-02-01,62,False
2015-02-08,61,False
2015-02-15,64,False
2015-02-22,69,False
2015-03-01,58,False
2015-03-08,55,False
2015-03-15,55,False
2015-03-22,60,False
2015-03-29,56,False
2015-04-05,86,False
2015-04-12,75,False
2015-04-19,84,False
2015-04-26,52,False
2015-05-03,73,False
2015-05-10,66,False
2015-05-17,67,False
2015-05-24,64,False
2015-05-31,60,False
2015-06-07,52,False
2015-06-14,50,False
2015-06-21,52,False
2015-06-28,46,False
2015-07-05,57,False
2015-07-12,42,False
2015-07-19,37,False
2015-07-26,39,False
2015-08-02,46,False
2015-08-09,35,False
2015-08-16,52,False
2015-08-23,53,False
2015-08-30,46,False
2015-09-06,59,False
2015-09-13,58,False
2015-09-20,63,False
2015-09-27,100,False
2015-10-04,82,False
2015-10-11,67,False
2015-10-18,81,False
2015-10-25,87,False
2015-11-01,57,False
2015-11-08,70,False
2015-11-15,75,False
2015-11-22,44,False
2015-11-29,79,False
2015-12-06,73,False
2015-12-13,62,False
2015-12-20,64,False
2015-12-27,39,False
