geoName,irritable
Alabama,69
Alaska,42
Arizona,60
Arkansas,68
California,54
Colorado,52
Connecticut,62
Delaware,93
District of Columbia,51
Florida,64
Georgia,55
Hawaii,57
Idaho,65
Illinois,62
Indiana,61
Iowa,60
Kansas,60
Kentucky,73
Louisiana,69
Maine,61
Maryland,72
Massachusetts,59
Michigan,66
Minnesota,73
Mississippi,77
Missouri,75
Montana,71
Nebraska,66
Nevada,57
New Hampshire,64
New Jersey,67
New Mexico,72
New York,61
North Carolina,64
North Dakota,80
Ohio,66
Oklahoma,77
Oregon,53
Pennsylvania,79
Rhode Island,52
South Carolina,64
South Dakota,61
Tennessee,76
Texas,58
Utah,57
Vermont,62
Virginia,46
Washington,57
West Virginia,100
Wisconsin,70
Wyoming,35
