date,irritable,isPartial
2014-01-05,81,False
2014-01-12,81,False
2014-01-19,66,False
2014-01-26,87,False
2014-02-02,65,False
2014-02-09,83,False
2014-02-16,82,False
2014-02-23,80,False
2014-03-02,82,False
2014-03-09,75,False
2014-03-16,82,False
2014-03-23,82,False
2014-03-30,88,False
2014-04-06,84,False
2014-04-13,79,False
2014-04-20,90,False
2014-04-27,82,False
2014-05-04,95,False
2014-05-11,82,False
2014-05-18,77,False
2014-05-25,79,False
2014-06-01,81,False
2014-06-08,100,False
2014-06-15,82,False
2014-06-22,95,False
2014-06-29,90,False
2014-07-06,90,False
2014-07-13,90,False
2014-07-20,91,False
2014-07-27,81,False
2014-08-03,82,False
2014-08-10,90,False
2014-08-17,88,False
2014-08-24,82,False
2014-08-31,89,False
2014-09-07,72,False
2014-09-14,83,False
2014-09-21,78,False
2014-09-28,94,False
2014-10-05,80,False
2014-10-12,69,False
2014-10-19,82,False
2014-10-26,86,False
2014-11-02,79,False
2014-11-09,72,False
2014-11-16,70,False
2014-11-23,71,False
2014-11-30,67,False
2014-12-07,76,False
2014-12-14,68,False
2014-12-21,68,False
2014-12-28,71,False
