geoName,irritable
Alabama,76
Alaska,78
Arizona,63
Arkansas,73
California,57
Colorado,68
Connecticut,59
Delaware,82
District of Columbia,61
Florida,73
Georgia,69
Hawaii,100
Idaho,85
Illinois,72
Indiana,90
Iowa,86
Kansas,89
Kentucky,82
Louisiana,74
Maine,68
Maryland,67
Massachusetts,64
Michigan,64
Minnesota,75
Mississippi,71
Missouri,72
Montana,75
Nebraska,83
Nevada,55
New Hampshire,83
New Jersey,68
New Mexico,72
New York,62
North Carolina,72
North Dakota,60
Ohio,80
Oklahoma,77
Oregon,65
Pennsylvania,90
Rhode Island,62
South Carolina,73
South Dakota,38
Tennessee,59
Texas,61
Utah,73
Vermont,92
Virginia,69
Washington,66
West Virginia,85
Wisconsin,75
Wyoming,38
