date,irritable,isPartial
2012-01-01,81,False
2012-01-08,81,False
2012-01-15,75,False
2012-01-22,86,False
2012-01-29,83,False
2012-02-05,92,False
2012-02-12,77,False
2012-02-19,91,False
2012-02-26,100,False
2012-03-04,95,False
2012-03-11,89,False
2012-03-18,76,False
2012-03-25,81,False
2012-04-01,78,False
2012-04-08,82,False
2012-04-15,92,False
2012-04-22,82,False
2012-04-29,85,False
2012-05-06,86,False
2012-05-13,85,False
2012-05-20,89,False
2012-05-27,86,False
2012-06-03,82,False
2012-06-10,85,False
2012-06-17,97,False
2012-06-24,87,False
2012-07-01,90,False
2012-07-08,89,False
2012-07-15,88,False
2012-07-22,90,False
2012-07-29,92,False
2012-08-05,91,False
2012-08-12,87,False
2012-08-19,85,False
2012-08-26,78,False
2012-09-02,87,False
2012-09-09,87,False
2012-09-16,87,False
2012-09-23,87,False
2012-09-30,78,False
2012-10-07,88,False
2012-10-14,75,False
2012-10-21,74,False
2012-10-28,69,False
2012-11-04,71,False
2012-11-11,78,False
2012-11-18,79,False
2012-11-25,79,False
2012-12-02,84,False
2012-12-09,82,False
2012-12-16,76,False
2012-12-23,71,False
2012-12-30,76,False
