date,irritable,isPartial
2015-01-04,74,False
2015-01-11,81,False
2015-01-18,85,False
2015-01-25,83,False
2015-02-01,84,False
2015-02-08,83,False
2015-02-15,78,False
2015-02-22,81,False
2015-03-01,77,False
2015-03-08,78,False
2015-03-15,80,False
2015-03-22,77,False
2015-03-29,80,False
2015-04-05,83,False
2015-04-12,83,False
2015-04-19,85,False
2015-04-26,83,False
2015-05-03,78,False
2015-05-10,68,False
2015-05-17,82,False
2015-05-24,73,False
2015-05-31,77,False
2015-06-07,88,False
2015-06-14,68,False
2015-06-21,100,False
2015-06-28,76,False
2015-07-05,74,False
2015-07-12,80,False
2015-07-19,76,False
2015-07-26,89,False
2015-08-02,81,False
2015-08-09,79,False
2015-08-16,85,False
2015-08-23,86,False
2015-08-30,85,False
2015-09-06,78,False
2015-09-13,90,False
2015-09-20,88,False
2015-09-27,94,False
2015-10-04,79,False
2015-10-11,83,False
2015-10-18,83,False
2015-10-25,80,False
2015-11-01,83,False
2015-11-08,79,False
2015-11-15,72,False
2015-11-22,60,False
2015-11-29,71,False
2015-12-06,75,False
2015-12-13,74,False
2015-12-20,67,False
2015-12-27,74,False
