geoName,irritable
Alabama,70
Alaska,73
Arizona,67
Arkansas,88
California,51
Colorado,58
Connecticut,58
Delaware,100
District of Columbia,54
Florida,58
Georgia,54
Hawaii,42
Idaho,52
Illinois,59
Indiana,77
Iowa,76
Kansas,59
Kentucky,74
Louisiana,56
Maine,70
Maryland,55
Massachusetts,64
Michigan,57
Minnesota,66
Mississippi,62
Missouri,50
Montana,87
Nebraska,81
Nevada,47
New Hampshire,67
New Jersey,58
New Mexico,64
New York,53
North Carolina,57
North Dakota,83
Ohio,77
Oklahoma,75
Oregon,42
Pennsylvania,75
Rhode Island,66
South Carolina,71
South Dakota,88
Tennessee,70
Texas,55
Utah,60
Vermont,27
Virginia,42
Washington,60
West Virginia,100
Wisconsin,64
Wyoming,76
