date,irritable,isPartial
2011-01-02,97,False
2011-01-09,91,False
2011-01-16,90,False
2011-01-23,90,False
2011-01-30,75,False
2011-02-06,93,False
2011-02-13,73,False
2011-02-20,90,False
2011-02-27,99,False
2011-03-06,79,False
2011-03-13,83,False
2011-03-20,79,False
2011-03-27,95,False
2011-04-03,83,False
2011-04-10,77,False
2011-04-17,97,False
2011-04-24,93,False
2011-05-01,93,False
2011-05-08,73,False
2011-05-15,86,False
2011-05-22,80,False
2011-05-29,80,False
2011-06-05,78,False
2011-06-12,81,False
2011-06-19,83,False
2011-06-26,90,False
2011-07-03,89,False
2011-07-10,99,False
2011-07-17,98,False
2011-07-24,91,False
2011-07-31,100,False
2011-08-07,88,False
2011-08-14,94,False
2011-08-21,82,False
2011-08-28,96,False
2011-09-04,89,False
2011-09-11,99,False
2011-09-18,92,False
2011-09-25,83,False
2011-10-02,89,False
2011-10-09,99,False
2011-10-16,87,False
2011-10-23,79,False
2011-10-30,81,False
2011-11-06,76,False
2011-11-13,87,False
2011-11-20,87,False
2011-11-27,82,False
2011-12-04,89,False
2011-12-11,84,False
2011-12-18,84,False
2011-12-25,80,False
