geoName,irritable
Alabama,69
Alaska,54
Arizona,67
Arkansas,60
California,57
Colorado,59
Connecticut,55
Delaware,45
District of Columbia,54
Florida,66
Georgia,59
Hawaii,67
Idaho,72
Illinois,66
Indiana,81
Iowa,84
Kansas,63
Kentucky,100
Louisiana,68
Maine,86
Maryland,70
Massachusetts,61
Michigan,68
Minnesota,69
Mississippi,87
Missouri,69
Montana,62
Nebraska,77
Nevada,52
New Hampshire,60
New Jersey,66
New Mexico,74
New York,58
North Carolina,72
North Dakota,63
Ohio,78
Oklahoma,64
Oregon,63
Pennsylvania,79
Rhode Island,66
South Carolina,71
South Dakota,74
Tennessee,77
Texas,59
Utah,65
Vermont,93
Virginia,69
Washington,55
West Virginia,84
Wisconsin,69
Wyoming,66
