geoName,irritable
Alabama,91
Alaska,52
Arizona,82
Arkansas,79
California,67
Colorado,71
Connecticut,82
Delaware,79
District of Columbia,76
Florida,79
Georgia,76
Hawaii,60
Idaho,82
Illinois,76
Indiana,87
Iowa,89
Kansas,65
Kentucky,74
Louisiana,75
Maine,82
Maryland,82
Massachusetts,79
Michigan,73
Minnesota,90
Mississippi,84
Missouri,84
Montana,63
Nebraska,75
Nevada,68
New Hampshire,95
New Jersey,84
New Mexico,61
New York,75
North Carolina,81
North Dakota,91
Ohio,82
Oklahoma,86
Oregon,68
Pennsylvania,90
Rhode Island,67
South Carolina,70
South Dakota,82
Tennessee,81
Texas,68
Utah,71
Vermont,86
Virginia,72
Washington,62
West Virginia,100
Wisconsin,74
Wyoming,71
