geoName,irritable
Alabama,78
Alaska,46
Arizona,72
Arkansas,79
California,60
Colorado,63
Connecticut,68
Delaware,41
District of Columbia,56
Florida,70
Georgia,66
Hawaii,41
Idaho,87
Illinois,71
Indiana,75
Iowa,72
Kansas,80
Kentucky,85
Louisiana,60
Maine,99
Maryland,67
Massachusetts,74
Michigan,81
Minnesota,76
Mississippi,83
Missouri,74
Montana,94
Nebraska,95
Nevada,66
New Hampshire,64
New Jersey,65
New Mexico,61
New York,65
North Carolina,83
North Dakota,100
Ohio,78
Oklahoma,82
Oregon,84
Pennsylvania,87
Rhode Island,59
South Carolina,80
South Dakota,100
Tennessee,92
Texas,61
Utah,76
Vermont,77
Virginia,71
Washington,72
West Virginia,62
Wisconsin,98
Wyoming,48
