date,irritable,isPartial
2013-01-06,87,False
2013-01-13,79,False
2013-01-20,69,False
2013-01-27,82,False
2013-02-03,77,False
2013-02-10,80,False
2013-02-17,78,False
2013-02-24,76,False
2013-03-03,86,False
2013-03-10,79,False
2013-03-17,73,False
2013-03-24,81,False
2013-03-31,82,False
2013-04-07,100,False
2013-04-14,74,False
2013-04-21,87,False
2013-04-28,74,False
2013-05-05,78,False
2013-05-12,77,False
2013-05-19,76,False
2013-05-26,91,False
2013-06-02,73,False
2013-06-09,84,False
2013-06-16,85,False
2013-06-23,83,False
2013-06-30,79,False
2013-07-07,86,False
2013-07-14,87,False
2013-07-21,83,False
2013-07-28,80,False
2013-08-04,80,False
2013-08-11,73,False
2013-08-18,88,False
2013-08-25,81,False
2013-09-01,76,False
2013-09-08,81,False
2013-09-15,71,False
2013-09-22,80,False
2013-09-29,81,False
2013-10-06,90,False
2013-10-13,82,False
2013-10-20,82,False
2013-10-27,77,False
2013-11-03,76,False
2013-11-10,65,False
2013-11-17,81,False
2013-11-24,62,False
2013-12-01,75,False
2013-12-08,66,False
2013-12-15,71,False
2013-12-22,63,False
2013-12-29,68,False
