date,inactivity,isPartial
2016-01-03,86,False
2016-01-10,100,False
2016-01-17,69,False
2016-01-24,79,False
2016-01-31,69,False
2016-02-07,84,False
2016-02-14,77,False
2016-02-21,70,False
2016-02-28,74,False
2016-03-06,58,False
2016-03-13,79,False
2016-03-20,72,False
2016-03-27,73,False
2016-04-03,53,False
2016-04-10,63,False
2016-04-17,81,False
2016-04-24,75,False
2016-05-01,82,False
2016-05-08,79,False
2016-05-15,56,False
2016-05-22,67,False
2016-05-29,53,False
2016-06-05,69,False
2016-06-12,76,False
2016-06-19,46,False
2016-06-26,74,False
2016-07-03,83,False
2016-07-10,49,False
2016-07-17,82,False
2016-07-24,63,False
2016-07-31,55,False
2016-08-07,59,False
2016-08-14,53,False
2016-08-21,63,False
2016-08-28,59,False
2016-09-04,56,False
2016-09-11,60,False
2016-09-18,87,False
2016-09-25,52,False
2016-10-02,63,False
2016-10-09,54,False
2016-10-16,77,False
2016-10-23,68,False
2016-10-30,69,False
2016-11-06,58,False
2016-11-13,59,False
2016-11-20,49,False
2016-11-27,74,False
2016-12-04,87,False
2016-12-11,57,False
2016-12-18,49,False
2016-12-25,71,False
