geoName,inactivity
Alabama,69
Alaska,0
Arizona,43
Arkansas,96
California,70
Colorado,82
Connecticut,97
Delaware,0
District of Columbia,70
Florida,52
Georgia,77
Hawaii,79
Idaho,40
Illinois,62
Indiana,45
Iowa,74
Kansas,60
Kentucky,56
Louisiana,53
Maine,46
Maryland,86
Massachusetts,74
Michigan,67
Minnesota,95
Mississippi,64
Missouri,67
Montana,0
Nebraska,71
Nevada,41
New Hampshire,95
New Jersey,63
New Mexico,35
New York,67
North Carolina,56
North Dakota,0
Ohio,56
Oklahoma,81
Oregon,64
Pennsylvania,72
Rhode Island,100
South Carolina,86
South Dakota,0
Tennessee,64
Texas,60
Utah,79
Vermont,0
Virginia,92
Washington,73
West Virginia,34
Wisconsin,82
Wyoming,0
