geoName,inactivity
Alabama,53
Alaska,0
Arizona,37
Arkansas,35
California,41
Colorado,19
Connecticut,58
Delaware,0
District of Columbia,44
Florida,48
Georgia,49
Hawaii,25
Idaho,100
Illinois,33
Indiana,59
Iowa,56
Kansas,37
Kentucky,63
Louisiana,30
Maine,41
Maryland,47
Massachusetts,55
Michigan,46
Minnesota,53
Mississippi,78
Missouri,46
Montana,0
Nebraska,51
Nevada,28
New Hampshire,35
New Jersey,48
New Mexico,38
New York,43
North Carolina,44
North Dakota,0
Ohio,43
Oklahoma,32
Oregon,36
Pennsylvania,43
Rhode Island,9
South Carolina,43
South Dakota,0
Tennessee,36
Texas,33
Utah,45
Vermont,0
Virginia,33
Washington,42
West Virginia,45
Wisconsin,60
Wyoming,0
