date,inactivity,isPartial
2015-01-04,69,False
2015-01-11,67,False
2015-01-18,92,False
2015-01-25,74,False
2015-02-01,59,False
2015-02-08,63,False
2015-02-15,59,False
2015-02-22,71,False
2015-03-01,84,False
2015-03-08,64,False
2015-03-15,56,False
2015-03-22,79,False
2015-03-29,64,False
2015-04-05,59,False
2015-04-12,65,False
2015-04-19,100,False
2015-04-26,80,False
2015-05-03,92,False
2015-05-10,79,False
2015-05-17,68,False
2015-05-24,58,False
2015-05-31,63,False
2015-06-07,89,False
2015-06-14,65,False
2015-06-21,72,False
2015-06-28,50,False
2015-07-05,47,False
2015-07-12,85,False
2015-07-19,72,False
2015-07-26,75,False
2015-08-02,92,False
2015-08-09,54,False
2015-08-16,72,False
2015-08-23,55,False
2015-08-30,78,False
2015-09-06,63,False
2015-09-13,82,False
2015-09-20,78,False
2015-09-27,48,False
2015-10-04,80,False
2015-10-11,67,False
2015-10-18,79,False
2015-10-25,57,False
2015-11-01,89,False
2015-11-08,92,False
2015-11-15,60,False
2015-11-22,55,False
2015-11-29,67,False
2015-12-06,81,False
2015-12-13,70,False
2015-12-20,74,False
2015-12-27,61,False
