geoName,inactivity
Alabama,53
Alaska,0
Arizona,48
Arkansas,67
California,51
Colorado,52
Connecticut,65
Delaware,0
District of Columbia,58
Florida,32
Georgia,41
Hawaii,81
Idaho,67
Illinois,38
Indiana,87
Iowa,48
Kansas,62
Kentucky,58
Louisiana,49
Maine,100
Maryland,57
Massachusetts,47
Michigan,48
Minnesota,76
Mississippi,26
Missouri,49
Montana,0
Nebraska,48
Nevada,48
New Hampshire,20
New Jersey,31
New Mexico,30
New York,48
North Carolina,36
North Dakota,0
Ohio,68
Oklahoma,65
Oregon,33
Pennsylvania,59
Rhode Island,75
South Carolina,16
South Dakota,0
Tennessee,53
Texas,48
Utah,67
Vermont,0
Virginia,47
Washington,57
West Virginia,63
Wisconsin,49
Wyoming,0
