date,inactivity,isPartial
2014-01-05,52,False
2014-01-12,57,False
2014-01-19,96,False
2014-01-26,63,False
2014-02-02,64,False
2014-02-09,60,False
2014-02-16,59,False
2014-02-23,55,False
2014-03-02,40,False
2014-03-09,63,False
2014-03-16,66,False
2014-03-23,61,False
2014-03-30,48,False
2014-04-06,57,False
2014-04-13,76,False
2014-04-20,66,False
2014-04-27,54,False
2014-05-04,71,False
2014-05-11,52,False
2014-05-18,34,False
2014-05-25,54,False
2014-06-01,62,False
2014-06-08,67,False
2014-06-15,78,False
2014-06-22,38,False
2014-06-29,45,False
2014-07-06,61,False
2014-07-13,36,False
2014-07-20,61,False
2014-07-27,57,False
2014-08-03,69,False
2014-08-10,62,False
2014-08-17,52,False
2014-08-24,59,False
2014-08-31,46,False
2014-09-07,71,False
2014-09-14,51,False
2014-09-21,50,False
2014-09-28,50,False
2014-10-05,55,False
2014-10-12,78,False
2014-10-19,75,False
2014-10-26,42,False
2014-11-02,80,False
2014-11-09,50,False
2014-11-16,100,False
2014-11-23,42,False
2014-11-30,82,False
2014-12-07,55,False
2014-12-14,65,False
2014-12-21,54,False
2014-12-28,47,False
