geoName,inactivity
Alabama,80
Alaska,0
Arizona,33
Arkansas,54
California,37
Colorado,27
Connecticut,39
Delaware,0
District of Columbia,38
Florida,40
Georgia,36
Hawaii,30
Idaho,18
Illinois,38
Indiana,46
Iowa,41
Kansas,53
Kentucky,41
Louisiana,29
Maine,88
Maryland,61
Massachusetts,34
Michigan,61
Minnesota,57
Mississippi,100
Missouri,78
Montana,0
Nebraska,71
Nevada,65
New Hampshire,59
New Jersey,68
New Mexico,48
New York,30
North Carolina,55
North Dakota,0
Ohio,40
Oklahoma,84
Oregon,47
Pennsylvania,68
Rhode Island,58
South Carolina,65
South Dakota,0
Tennessee,58
Texas,40
Utah,66
Vermont,0
Virginia,46
Washington,54
West Virginia,60
Wisconsin,64
Wyoming,0
