geoName,insecure
Alabama,98
Alaska,60
Arizona,75
Arkansas,76
California,83
Colorado,64
Connecticut,78
Delaware,98
District of Columbia,100
Florida,85
Georgia,78
Hawaii,95
Idaho,53
Illinois,79
Indiana,89
Iowa,66
Kansas,77
Kentucky,74
Louisiana,76
Maine,73
Maryland,82
Massachusetts,68
Michigan,91
Minnesota,59
Mississippi,100
Missouri,68
Montana,53
Nebraska,68
Nevada,77
New Hampshire,71
New Jersey,74
New Mexico,69
New York,82
North Carolina,74
North Dakota,95
Ohio,62
Oklahoma,59
Oregon,67
Pennsylvania,76
Rhode Island,90
South Carolina,66
South Dakota,53
Tennessee,64
Texas,81
Utah,69
Vermont,47
Virginia,81
Washington,65
West Virginia,58
Wisconsin,54
Wyoming,71
