date,insecure,isPartial
2014-01-05,73,False
2014-01-12,80,False
2014-01-19,85,False
2014-01-26,90,False
2014-02-02,75,False
2014-02-09,79,False
2014-02-16,81,False
2014-02-23,87,False
2014-03-02,91,False
2014-03-09,91,False
2014-03-16,84,False
2014-03-23,92,False
2014-03-30,98,False
2014-04-06,100,False
2014-04-13,84,False
2014-04-20,87,False
2014-04-27,95,False
2014-05-04,96,False
2014-05-11,85,False
2014-05-18,84,False
2014-05-25,78,False
2014-06-01,93,False
2014-06-08,87,False
2014-06-15,85,False
2014-06-22,92,False
2014-06-29,93,False
2014-07-06,82,False
2014-07-13,87,False
2014-07-20,90,False
2014-07-27,89,False
2014-08-03,80,False
2014-08-10,72,False
2014-08-17,87,False
2014-08-24,81,False
2014-08-31,82,False
2014-09-07,78,False
2014-09-14,83,False
2014-09-21,83,False
2014-09-28,84,False
2014-10-05,84,False
2014-10-12,82,False
2014-10-19,88,False
2014-10-26,82,False
2014-11-02,86,False
2014-11-09,86,False
2014-11-16,89,False
2014-11-23,77,False
2014-11-30,82,False
2014-12-07,84,False
2014-12-14,92,False
2014-12-21,88,False
2014-12-28,80,False
