date,insecure,isPartial
2015-01-04,77,False
2015-01-11,68,False
2015-01-18,66,False
2015-01-25,69,False
2015-02-01,64,False
2015-02-08,66,False
2015-02-15,100,False
2015-02-22,70,False
2015-03-01,85,False
2015-03-08,76,False
2015-03-15,75,False
2015-03-22,93,False
2015-03-29,66,False
2015-04-05,79,False
2015-04-12,71,False
2015-04-19,72,False
2015-04-26,78,False
2015-05-03,69,False
2015-05-10,71,False
2015-05-17,73,False
2015-05-24,82,False
2015-05-31,74,False
2015-06-07,88,False
2015-06-14,74,False
2015-06-21,80,False
2015-06-28,69,False
2015-07-05,75,False
2015-07-12,80,False
2015-07-19,75,False
2015-07-26,77,False
2015-08-02,71,False
2015-08-09,79,False
2015-08-16,58,False
2015-08-23,69,False
2015-08-30,62,False
2015-09-06,72,False
2015-09-13,70,False
2015-09-20,73,False
2015-09-27,80,False
2015-10-04,78,False
2015-10-11,75,False
2015-10-18,67,False
2015-10-25,82,False
2015-11-01,77,False
2015-11-08,82,False
2015-11-15,83,False
2015-11-22,69,False
2015-11-29,64,False
2015-12-06,77,False
2015-12-13,72,False
2015-12-20,67,False
2015-12-27,82,False
