geoName,insecure
Alabama,56
Alaska,84
Arizona,62
Arkansas,63
California,74
Colorado,59
Connecticut,64
Delaware,61
District of Columbia,78
Florida,67
Georgia,79
Hawaii,100
Idaho,45
Illinois,68
Indiana,58
Iowa,49
Kansas,76
Kentucky,56
Louisiana,82
Maine,61
Maryland,69
Massachusetts,64
Michigan,69
Minnesota,64
Mississippi,81
Missouri,57
Montana,58
Nebraska,58
Nevada,63
New Hampshire,66
New Jersey,65
New Mexico,62
New York,71
North Carolina,59
North Dakota,55
Ohio,54
Oklahoma,54
Oregon,43
Pennsylvania,60
Rhode Island,51
South Carolina,61
South Dakota,37
Tennessee,67
Texas,72
Utah,61
Vermont,61
Virginia,78
Washington,65
West Virginia,45
Wisconsin,62
Wyoming,40
