date,insecure,isPartial
2011-01-02,80,False
2011-01-09,83,False
2011-01-16,77,False
2011-01-23,88,False
2011-01-30,84,False
2011-02-06,90,False
2011-02-13,87,False
2011-02-20,91,False
2011-02-27,94,False
2011-03-06,83,False
2011-03-13,74,False
2011-03-20,81,False
2011-03-27,87,False
2011-04-03,84,False
2011-04-10,89,False
2011-04-17,64,False
2011-04-24,87,False
2011-05-01,86,False
2011-05-08,83,False
2011-05-15,83,False
2011-05-22,71,False
2011-05-29,77,False
2011-06-05,79,False
2011-06-12,77,False
2011-06-19,78,False
2011-06-26,85,False
2011-07-03,89,False
2011-07-10,83,False
2011-07-17,87,False
2011-07-24,91,False
2011-07-31,98,False
2011-08-07,86,False
2011-08-14,87,False
2011-08-21,83,False
2011-08-28,93,False
2011-09-04,81,False
2011-09-11,86,False
2011-09-18,77,False
2011-09-25,94,False
2011-10-02,96,False
2011-10-09,85,False
2011-10-16,99,False
2011-10-23,95,False
2011-10-30,90,False
2011-11-06,100,False
2011-11-13,91,False
2011-11-20,81,False
2011-11-27,82,False
2011-12-04,98,False
2011-12-11,88,False
2011-12-18,88,False
2011-12-25,78,False
