date,insecure,isPartial
2013-01-06,79,False
2013-01-13,82,False
2013-01-20,75,False
2013-01-27,80,False
2013-02-03,86,False
2013-02-10,69,False
2013-02-17,87,False
2013-02-24,89,False
2013-03-03,82,False
2013-03-10,60,False
2013-03-17,79,False
2013-03-24,67,False
2013-03-31,76,False
2013-04-07,78,False
2013-04-14,81,False
2013-04-21,74,False
2013-04-28,83,False
2013-05-05,73,False
2013-05-12,71,False
2013-05-19,82,False
2013-05-26,85,False
2013-06-02,76,False
2013-06-09,80,False
2013-06-16,99,False
2013-06-23,100,False
2013-06-30,96,False
2013-07-07,96,False
2013-07-14,88,False
2013-07-21,86,False
2013-07-28,87,False
2013-08-04,77,False
2013-08-11,75,False
2013-08-18,78,False
2013-08-25,80,False
2013-09-01,71,False
2013-09-08,80,False
2013-09-15,67,False
2013-09-22,68,False
2013-09-29,82,False
2013-10-06,72,False
2013-10-13,79,False
2013-10-20,78,False
2013-10-27,85,False
2013-11-03,85,False
2013-11-10,81,False
2013-11-17,85,False
2013-11-24,77,False
2013-12-01,76,False
2013-12-08,78,False
2013-12-15,72,False
2013-12-22,69,False
2013-12-29,71,False
