geoName,insecure
Alabama,67
Alaska,53
Arizona,64
Arkansas,70
California,74
Colorado,55
Connecticut,65
Delaware,100
District of Columbia,61
Florida,67
Georgia,79
Hawaii,93
Idaho,55
Illinois,71
Indiana,63
Iowa,62
Kansas,57
Kentucky,86
Louisiana,80
Maine,37
Maryland,66
Massachusetts,69
Michigan,64
Minnesota,55
Mississippi,87
Missouri,64
Montana,28
Nebraska,48
Nevada,67
New Hampshire,70
New Jersey,63
New Mexico,69
New York,76
North Carolina,67
North Dakota,37
Ohio,64
Oklahoma,60
Oregon,45
Pennsylvania,63
Rhode Island,64
South Carolina,62
South Dakota,63
Tennessee,52
Texas,69
Utah,55
Vermont,55
Virginia,57
Washington,62
West Virginia,56
Wisconsin,62
Wyoming,59
