geoName,insecure
Alabama,63
Alaska,30
Arizona,45
Arkansas,48
California,69
Colorado,47
Connecticut,61
Delaware,80
District of Columbia,96
Florida,54
Georgia,82
Hawaii,66
Idaho,37
Illinois,60
Indiana,53
Iowa,37
Kansas,42
Kentucky,45
Louisiana,74
Maine,42
Maryland,100
Massachusetts,60
Michigan,56
Minnesota,44
Mississippi,61
Missouri,52
Montana,52
Nebraska,44
Nevada,49
New Hampshire,46
New Jersey,66
New Mexico,54
New York,77
North Carolina,62
North Dakota,44
Ohio,48
Oklahoma,50
Oregon,46
Pennsylvania,63
Rhode Island,60
South Carolina,55
South Dakota,34
Tennessee,54
Texas,58
Utah,41
Vermont,53
Virginia,66
Washington,51
West Virginia,47
Wisconsin,43
Wyoming,23
