geoName,miserable
Alabama,76
Alaska,59
Arizona,80
Arkansas,76
California,68
Colorado,60
Connecticut,81
Delaware,26
District of Columbia,100
Florida,69
Georgia,74
Hawaii,79
Idaho,54
Illinois,81
Indiana,74
Iowa,75
Kansas,67
Kentucky,72
Louisiana,83
Maine,58
Maryland,75
Massachusetts,76
Michigan,71
Minnesota,59
Mississippi,65
Missouri,70
Montana,50
Nebraska,77
Nevada,63
New Hampshire,64
New Jersey,88
New Mexico,26
New York,96
North Carolina,72
North Dakota,49
Ohio,81
Oklahoma,70
Oregon,58
Pennsylvania,96
Rhode Island,88
South Carolina,60
South Dakota,79
Tennessee,71
Texas,69
Utah,87
Vermont,41
Virginia,58
Washington,66
West Virginia,79
Wisconsin,62
Wyoming,20
