date,miserable,isPartial
2013-01-06,95,False
2013-01-13,80,False
2013-01-20,73,False
2013-01-27,54,False
2013-02-03,49,False
2013-02-10,42,False
2013-02-17,71,False
2013-02-24,100,False
2013-03-03,44,False
2013-03-10,46,False
2013-03-17,59,False
2013-03-24,53,False
2013-03-31,52,False
2013-04-07,43,False
2013-04-14,32,False
2013-04-21,39,False
2013-04-28,41,False
2013-05-05,33,False
2013-05-12,34,False
2013-05-19,36,False
2013-05-26,38,False
2013-06-02,30,False
2013-06-09,33,False
2013-06-16,30,False
2013-06-23,34,False
2013-06-30,33,False
2013-07-07,29,False
2013-07-14,27,False
2013-07-21,32,False
2013-07-28,32,False
2013-08-04,33,False
2013-08-11,34,False
2013-08-18,32,False
2013-08-25,31,False
2013-09-01,33,False
2013-09-08,29,False
2013-09-15,30,False
2013-09-22,34,False
2013-09-29,28,False
2013-10-06,34,False
2013-10-13,35,False
2013-10-20,28,False
2013-10-27,35,False
2013-11-03,34,False
2013-11-10,37,False
2013-11-17,40,False
2013-11-24,33,False
2013-12-01,32,False
2013-12-08,38,False
2013-12-15,27,False
2013-12-22,35,False
2013-12-29,34,False
