date,miserable,isPartial
2014-01-05,72,False
2014-01-12,62,False
2014-01-19,68,False
2014-01-26,60,False
2014-02-02,70,False
2014-02-09,66,False
2014-02-16,76,False
2014-02-23,100,False
2014-03-02,76,False
2014-03-09,78,False
2014-03-16,67,False
2014-03-23,71,False
2014-03-30,80,False
2014-04-06,75,False
2014-04-13,65,False
2014-04-20,69,False
2014-04-27,73,False
2014-05-04,78,False
2014-05-11,65,False
2014-05-18,71,False
2014-05-25,66,False
2014-06-01,61,False
2014-06-08,50,False
2014-06-15,59,False
2014-06-22,66,False
2014-06-29,48,False
2014-07-06,58,False
2014-07-13,54,False
2014-07-20,74,False
2014-07-27,72,False
2014-08-03,63,False
2014-08-10,59,False
2014-08-17,50,False
2014-08-24,58,False
2014-08-31,56,False
2014-09-07,49,False
2014-09-14,57,False
2014-09-21,65,False
2014-09-28,49,False
2014-10-05,61,False
2014-10-12,60,False
2014-10-19,63,False
2014-10-26,68,False
2014-11-02,69,False
2014-11-09,50,False
2014-11-16,66,False
2014-11-23,64,False
2014-11-30,64,False
2014-12-07,61,False
2014-12-14,65,False
2014-12-21,52,False
2014-12-28,57,False
