date,miserable,isPartial
2012-01-01,20,False
2012-01-08,16,False
2012-01-15,14,False
2012-01-22,19,False
2012-01-29,26,False
2012-02-05,26,False
2012-02-12,17,False
2012-02-19,14,False
2012-02-26,19,False
2012-03-04,20,False
2012-03-11,13,False
2012-03-18,15,False
2012-03-25,16,False
2012-04-01,16,False
2012-04-08,16,False
2012-04-15,17,False
2012-04-22,16,False
2012-04-29,15,False
2012-05-06,12,False
2012-05-13,14,False
2012-05-20,17,False
2012-05-27,26,False
2012-06-03,19,False
2012-06-10,18,False
2012-06-17,19,False
2012-06-24,18,False
2012-07-01,16,False
2012-07-08,15,False
2012-07-15,14,False
2012-07-22,17,False
2012-07-29,14,False
2012-08-05,16,False
2012-08-12,18,False
2012-08-19,15,False
2012-08-26,18,False
2012-09-02,15,False
2012-09-09,15,False
2012-09-16,16,False
2012-09-23,21,False
2012-09-30,15,False
2012-10-07,20,False
2012-10-14,21,False
2012-10-21,17,False
2012-10-28,15,False
2012-11-04,21,False
2012-11-11,21,False
2012-11-18,22,False
2012-11-25,27,False
2012-12-02,31,False
2012-12-09,35,False
2012-12-16,35,False
2012-12-23,100,False
2012-12-30,71,False
