geoName,miserable
Alabama,70
Alaska,40
Arizona,68
Arkansas,65
California,72
Colorado,67
Connecticut,73
Delaware,54
District of Columbia,68
Florida,69
Georgia,70
Hawaii,73
Idaho,58
Illinois,74
Indiana,75
Iowa,46
Kansas,49
Kentucky,77
Louisiana,73
Maine,93
Maryland,78
Massachusetts,79
Michigan,78
Minnesota,51
Mississippi,88
Missouri,65
Montana,54
Nebraska,49
Nevada,88
New Hampshire,67
New Jersey,80
New Mexico,58
New York,92
North Carolina,73
North Dakota,88
Ohio,81
Oklahoma,80
Oregon,64
Pennsylvania,97
Rhode Island,100
South Carolina,66
South Dakota,43
Tennessee,64
Texas,67
Utah,84
Vermont,71
Virginia,64
Washington,65
West Virginia,90
Wisconsin,53
Wyoming,58
