geoName,miserable
Alabama,64
Alaska,69
Arizona,54
Arkansas,77
California,67
Colorado,63
Connecticut,65
Delaware,63
District of Columbia,64
Florida,63
Georgia,71
Hawaii,61
Idaho,100
Illinois,76
Indiana,85
Iowa,60
Kansas,63
Kentucky,67
Louisiana,82
Maine,59
Maryland,82
Massachusetts,81
Michigan,64
Minnesota,61
Mississippi,47
Missouri,64
Montana,78
Nebraska,67
Nevada,67
New Hampshire,84
New Jersey,84
New Mexico,60
New York,78
North Carolina,67
North Dakota,50
Ohio,65
Oklahoma,61
Oregon,44
Pennsylvania,82
Rhode Island,69
South Carolina,67
South Dakota,47
Tennessee,56
Texas,65
Utah,88
Vermont,69
Virginia,58
Washington,61
West Virginia,96
Wisconsin,62
Wyoming,51
