date,miserable,isPartial
2015-01-04,76,False
2015-01-11,83,False
2015-01-18,75,False
2015-01-25,75,False
2015-02-01,77,False
2015-02-08,84,False
2015-02-15,82,False
2015-02-22,74,False
2015-03-01,100,False
2015-03-08,81,False
2015-03-15,89,False
2015-03-22,80,False
2015-03-29,81,False
2015-04-05,81,False
2015-04-12,67,False
2015-04-19,92,False
2015-04-26,75,False
2015-05-03,75,False
2015-05-10,78,False
2015-05-17,72,False
2015-05-24,72,False
2015-05-31,78,False
2015-06-07,88,False
2015-06-14,68,False
2015-06-21,75,False
2015-06-28,78,False
2015-07-05,66,False
2015-07-12,65,False
2015-07-19,73,False
2015-07-26,68,False
2015-08-02,76,False
2015-08-09,78,False
2015-08-16,70,False
2015-08-23,82,False
2015-08-30,97,False
2015-09-06,85,False
2015-09-13,64,False
2015-09-20,87,False
2015-09-27,84,False
2015-10-04,97,False
2015-10-11,76,False
2015-10-18,67,False
2015-10-25,86,False
2015-11-01,92,False
2015-11-08,95,False
2015-11-15,86,False
2015-11-22,88,False
2015-11-29,72,False
2015-12-06,93,False
2015-12-13,83,False
2015-12-20,84,False
2015-12-27,78,False
