date,miserable,isPartial
2016-01-03,80,False
2016-01-10,79,False
2016-01-17,77,False
2016-01-24,85,False
2016-01-31,75,False
2016-02-07,87,False
2016-02-14,93,False
2016-02-21,88,False
2016-02-28,92,False
2016-03-06,84,False
2016-03-13,80,False
2016-03-20,87,False
2016-03-27,80,False
2016-04-03,88,False
2016-04-10,81,False
2016-04-17,82,False
2016-04-24,78,False
2016-05-01,92,False
2016-05-08,88,False
2016-05-15,88,False
2016-05-22,87,False
2016-05-29,90,False
2016-06-05,87,False
2016-06-12,86,False
2016-06-19,74,False
2016-06-26,84,False
2016-07-03,70,False
2016-07-10,73,False
2016-07-17,74,False
2016-07-24,76,False
2016-07-31,71,False
2016-08-07,74,False
2016-08-14,79,False
2016-08-21,72,False
2016-08-28,66,False
2016-09-04,80,False
2016-09-11,69,False
2016-09-18,80,False
2016-09-25,79,False
2016-10-02,69,False
2016-10-09,72,False
2016-10-16,79,False
2016-10-23,93,False
2016-10-30,80,False
2016-11-06,90,False
2016-11-13,100,False
2016-11-20,89,False
2016-11-27,82,False
2016-12-04,78,False
2016-12-11,75,False
2016-12-18,84,False
2016-12-25,72,False
