geoName,need
Alabama,94
Alaska,86
Arizona,89
Arkansas,93
California,83
Colorado,88
Connecticut,85
Delaware,87
District of Columbia,76
Florida,86
Georgia,95
Hawaii,83
Idaho,94
Illinois,86
Indiana,94
Iowa,92
Kansas,88
Kentucky,93
Louisiana,89
Maine,84
Maryland,85
Massachusetts,82
Michigan,93
Minnesota,86
Mississippi,97
Missouri,94
Montana,89
Nebraska,94
Nevada,91
New Hampshire,89
New Jersey,90
New Mexico,86
New York,79
North Carolina,93
North Dakota,90
Ohio,86
Oklahoma,90
Oregon,54
Pennsylvania,89
Rhode Island,83
South Carolina,91
South Dakota,95
Tennessee,93
Texas,87
Utah,98
Vermont,76
Virginia,73
Washington,84
West Virginia,100
Wisconsin,89
Wyoming,89
