date,need,isPartial
2013-01-06,95,False
2013-01-13,93,False
2013-01-20,93,False
2013-01-27,94,False
2013-02-03,90,False
2013-02-10,91,False
2013-02-17,90,False
2013-02-24,89,False
2013-03-03,91,False
2013-03-10,93,False
2013-03-17,90,False
2013-03-24,93,False
2013-03-31,91,False
2013-04-07,96,False
2013-04-14,94,False
2013-04-21,93,False
2013-04-28,95,False
2013-05-05,94,False
2013-05-12,96,False
2013-05-19,95,False
2013-05-26,96,False
2013-06-02,96,False
2013-06-09,96,False
2013-06-16,96,False
2013-06-23,95,False
2013-06-30,93,False
2013-07-07,94,False
2013-07-14,96,False
2013-07-21,95,False
2013-07-28,96,False
2013-08-04,95,False
2013-08-11,95,False
2013-08-18,93,False
2013-08-25,92,False
2013-09-01,92,False
2013-09-08,94,False
2013-09-15,92,False
2013-09-22,92,False
2013-09-29,92,False
2013-10-06,93,False
2013-10-13,90,False
2013-10-20,93,False
2013-10-27,90,False
2013-11-03,94,False
2013-11-10,98,False
2013-11-17,100,False
2013-11-24,93,False
2013-12-01,93,False
2013-12-08,91,False
2013-12-15,92,False
2013-12-22,93,False
2013-12-29,96,False
