geoName,need
Alabama,94
Alaska,88
Arizona,87
Arkansas,95
California,83
Colorado,87
Connecticut,83
Delaware,90
District of Columbia,75
Florida,84
Georgia,90
Hawaii,87
Idaho,86
Illinois,85
Indiana,95
Iowa,90
Kansas,85
Kentucky,92
Louisiana,92
Maine,87
Maryland,85
Massachusetts,81
Michigan,90
Minnesota,89
Mississippi,99
Missouri,93
Montana,85
Nebraska,90
Nevada,84
New Hampshire,89
New Jersey,83
New Mexico,84
New York,83
North Carolina,90
North Dakota,91
Ohio,90
Oklahoma,95
Oregon,79
Pennsylvania,86
Rhode Island,84
South Carolina,88
South Dakota,89
Tennessee,89
Texas,86
Utah,93
Vermont,85
Virginia,87
Washington,80
West Virginia,100
Wisconsin,85
Wyoming,89
