date,need,isPartial
2016-01-03,96,False
2016-01-10,89,False
2016-01-17,92,False
2016-01-24,95,False
2016-01-31,93,False
2016-02-07,92,False
2016-02-14,90,False
2016-02-21,87,False
2016-02-28,93,False
2016-03-06,90,False
2016-03-13,88,False
2016-03-20,90,False
2016-03-27,88,False
2016-04-03,92,False
2016-04-10,94,False
2016-04-17,93,False
2016-04-24,88,False
2016-05-01,90,False
2016-05-08,89,False
2016-05-15,89,False
2016-05-22,91,False
2016-05-29,88,False
2016-06-05,90,False
2016-06-12,88,False
2016-06-19,89,False
2016-06-26,89,False
2016-07-03,93,False
2016-07-10,100,False
2016-07-17,98,False
2016-07-24,91,False
2016-07-31,88,False
2016-08-07,82,False
2016-08-14,81,False
2016-08-21,85,False
2016-08-28,85,False
2016-09-04,82,False
2016-09-11,86,False
2016-09-18,85,False
2016-09-25,87,False
2016-10-02,86,False
2016-10-09,85,False
2016-10-16,85,False
2016-10-23,85,False
2016-10-30,85,False
2016-11-06,92,False
2016-11-13,88,False
2016-11-20,83,False
2016-11-27,89,False
2016-12-04,88,False
2016-12-11,86,False
2016-12-18,83,False
2016-12-25,85,False
