geoName,need
Alabama,92
Alaska,83
Arizona,86
Arkansas,97
California,84
Colorado,84
Connecticut,83
Delaware,88
District of Columbia,75
Florida,87
Georgia,87
Hawaii,85
Idaho,92
Illinois,84
Indiana,90
Iowa,87
Kansas,89
Kentucky,89
Louisiana,86
Maine,83
Maryland,81
Massachusetts,80
Michigan,92
Minnesota,82
Mississippi,97
Missouri,88
Montana,87
Nebraska,91
Nevada,88
New Hampshire,86
New Jersey,89
New Mexico,86
New York,84
North Carolina,91
North Dakota,94
Ohio,87
Oklahoma,89
Oregon,59
Pennsylvania,89
Rhode Island,84
South Carolina,91
South Dakota,88
Tennessee,90
Texas,84
Utah,89
Vermont,84
Virginia,86
Washington,84
West Virginia,100
Wisconsin,86
Wyoming,86
