geoName,need
Alabama,94
Alaska,82
Arizona,86
Arkansas,100
California,83
Colorado,87
Connecticut,80
Delaware,86
District of Columbia,82
Florida,88
Georgia,95
Hawaii,85
Idaho,93
Illinois,91
Indiana,92
Iowa,93
Kansas,77
Kentucky,92
Louisiana,89
Maine,85
Maryland,86
Massachusetts,79
Michigan,94
Minnesota,86
Mississippi,98
Missouri,98
Montana,84
Nebraska,94
Nevada,90
New Hampshire,84
New Jersey,83
New Mexico,90
New York,83
North Carolina,91
North Dakota,89
Ohio,89
Oklahoma,85
Oregon,68
Pennsylvania,88
Rhode Island,84
South Carolina,98
South Dakota,92
Tennessee,95
Texas,95
Utah,96
Vermont,79
Virginia,61
Washington,86
West Virginia,100
Wisconsin,87
Wyoming,89
