date,need,isPartial
2014-01-05,85,False
2014-01-12,89,False
2014-01-19,87,False
2014-01-26,89,False
2014-02-02,88,False
2014-02-09,87,False
2014-02-16,85,False
2014-02-23,91,False
2014-03-02,87,False
2014-03-09,96,False
2014-03-16,100,False
2014-03-23,95,False
2014-03-30,87,False
2014-04-06,91,False
2014-04-13,90,False
2014-04-20,88,False
2014-04-27,88,False
2014-05-04,90,False
2014-05-11,92,False
2014-05-18,92,False
2014-05-25,87,False
2014-06-01,86,False
2014-06-08,85,False
2014-06-15,89,False
2014-06-22,88,False
2014-06-29,85,False
2014-07-06,84,False
2014-07-13,90,False
2014-07-20,88,False
2014-07-27,85,False
2014-08-03,93,False
2014-08-10,89,False
2014-08-17,87,False
2014-08-24,86,False
2014-08-31,84,False
2014-09-07,82,False
2014-09-14,86,False
2014-09-21,83,False
2014-09-28,88,False
2014-10-05,85,False
2014-10-12,84,False
2014-10-19,86,False
2014-10-26,85,False
2014-11-02,87,False
2014-11-09,85,False
2014-11-16,88,False
2014-11-23,82,False
2014-11-30,83,False
2014-12-07,85,False
2014-12-14,82,False
2014-12-21,81,False
2014-12-28,81,False
