geoName,need
Alabama,92
Alaska,83
Arizona,86
Arkansas,95
California,88
Colorado,84
Connecticut,88
Delaware,96
District of Columbia,76
Florida,94
Georgia,91
Hawaii,87
Idaho,88
Illinois,84
Indiana,95
Iowa,89
Kansas,96
Kentucky,91
Louisiana,90
Maine,91
Maryland,91
Massachusetts,87
Michigan,92
Minnesota,85
Mississippi,98
Missouri,89
Montana,81
Nebraska,88
Nevada,93
New Hampshire,87
New Jersey,95
New Mexico,80
New York,86
North Carolina,94
North Dakota,98
Ohio,94
Oklahoma,99
Oregon,84
Pennsylvania,92
Rhode Island,93
South Carolina,95
South Dakota,100
Tennessee,95
Texas,88
Utah,92
Vermont,86
Virginia,91
Washington,82
West Virginia,99
Wisconsin,88
Wyoming,86
