geoName,scared
Alabama,88
Alaska,85
Arizona,79
Arkansas,84
California,80
Colorado,73
Connecticut,78
Delaware,94
District of Columbia,73
Florida,81
Georgia,96
Hawaii,72
Idaho,73
Illinois,82
Indiana,81
Iowa,77
Kansas,84
Kentucky,89
Louisiana,87
Maine,69
Maryland,85
Massachusetts,72
Michigan,78
Minnesota,71
Mississippi,100
Missouri,80
Montana,71
Nebraska,72
Nevada,84
New Hampshire,68
New Jersey,88
New Mexico,78
New York,83
North Carolina,82
North Dakota,55
Ohio,77
Oklahoma,86
Oregon,47
Pennsylvania,84
Rhode Island,87
South Carolina,96
South Dakota,67
Tennessee,90
Texas,85
Utah,71
Vermont,70
Virginia,82
Washington,69
West Virginia,96
Wisconsin,72
Wyoming,81
