geoName,scared
Alabama,90
Alaska,83
Arizona,76
Arkansas,91
California,76
Colorado,67
Connecticut,73
Delaware,84
District of Columbia,73
Florida,77
Georgia,91
Hawaii,69
Idaho,75
Illinois,80
Indiana,81
Iowa,73
Kansas,63
Kentucky,92
Louisiana,90
Maine,65
Maryland,84
Massachusetts,69
Michigan,84
Minnesota,67
Mississippi,100
Missouri,84
Montana,78
Nebraska,76
Nevada,86
New Hampshire,66
New Jersey,78
New Mexico,89
New York,79
North Carolina,89
North Dakota,77
Ohio,80
Oklahoma,79
Oregon,51
Pennsylvania,77
Rhode Island,67
South Carolina,97
South Dakota,75
Tennessee,78
Texas,85
Utah,74
Vermont,62
Virginia,60
Washington,64
West Virginia,92
Wisconsin,68
Wyoming,84
