geoName,scared
Alabama,84
Alaska,71
Arizona,82
Arkansas,95
California,84
Colorado,73
Connecticut,77
Delaware,69
District of Columbia,75
Florida,75
Georgia,86
Hawaii,74
Idaho,72
Illinois,77
Indiana,91
Iowa,80
Kansas,81
Kentucky,96
Louisiana,100
Maine,81
Maryland,79
Massachusetts,71
Michigan,83
Minnesota,75
Mississippi,99
Missouri,82
Montana,70
Nebraska,75
Nevada,82
New Hampshire,79
New Jersey,82
New Mexico,81
New York,76
North Carolina,83
North Dakota,81
Ohio,81
Oklahoma,86
Oregon,64
Pennsylvania,82
Rhode Island,76
South Carolina,98
South Dakota,72
Tennessee,85
Texas,85
Utah,85
Vermont,67
Virginia,85
Washington,73
West Virginia,94
Wisconsin,77
Wyoming,79
