geoName,scared
Alabama,82
Alaska,73
Arizona,78
Arkansas,92
California,76
Colorado,72
Connecticut,83
Delaware,97
District of Columbia,73
Florida,90
Georgia,87
Hawaii,91
Idaho,66
Illinois,85
Indiana,87
Iowa,74
Kansas,78
Kentucky,95
Louisiana,90
Maine,70
Maryland,93
Massachusetts,74
Michigan,93
Minnesota,65
Mississippi,100
Missouri,81
Montana,63
Nebraska,76
Nevada,83
New Hampshire,72
New Jersey,90
New Mexico,73
New York,81
North Carolina,83
North Dakota,80
Ohio,80
Oklahoma,89
Oregon,65
Pennsylvania,84
Rhode Island,86
South Carolina,89
South Dakota,82
Tennessee,86
Texas,87
Utah,83
Vermont,66
Virginia,89
Washington,68
West Virginia,100
Wisconsin,79
Wyoming,47
