date,scared,isPartial
2016-01-03,67,False
2016-01-10,68,False
2016-01-17,74,False
2016-01-24,71,False
2016-01-31,65,False
2016-02-07,64,False
2016-02-14,63,False
2016-02-21,68,False
2016-02-28,75,False
2016-03-06,71,False
2016-03-13,77,False
2016-03-20,70,False
2016-03-27,68,False
2016-04-03,66,False
2016-04-10,65,False
2016-04-17,67,False
2016-04-24,63,False
2016-05-01,62,False
2016-05-08,63,False
2016-05-15,64,False
2016-05-22,71,False
2016-05-29,69,False
2016-06-05,67,False
2016-06-12,68,False
2016-06-19,100,False
2016-06-26,70,False
2016-07-03,85,False
2016-07-10,66,False
2016-07-17,72,False
2016-07-24,69,False
2016-07-31,70,False
2016-08-07,63,False
2016-08-14,61,False
2016-08-21,65,False
2016-08-28,65,False
2016-09-04,66,False
2016-09-11,64,False
2016-09-18,63,False
2016-09-25,65,False
2016-10-02,69,False
2016-10-09,68,False
2016-10-16,67,False
2016-10-23,68,False
2016-10-30,70,False
2016-11-06,70,False
2016-11-13,63,False
2016-11-20,57,False
2016-11-27,60,False
2016-12-04,61,False
2016-12-11,57,False
2016-12-18,57,False
2016-12-25,56,False
