date,scared,isPartial
2015-01-04,83,False
2015-01-11,75,False
2015-01-18,92,False
2015-01-25,98,False
2015-02-01,86,False
2015-02-08,81,False
2015-02-15,92,False
2015-02-22,88,False
2015-03-01,97,False
2015-03-08,92,False
2015-03-15,91,False
2015-03-22,81,False
2015-03-29,86,False
2015-04-05,88,False
2015-04-12,82,False
2015-04-19,80,False
2015-04-26,83,False
2015-05-03,78,False
2015-05-10,81,False
2015-05-17,77,False
2015-05-24,78,False
2015-05-31,82,False
2015-06-07,78,False
2015-06-14,82,False
2015-06-21,88,False
2015-06-28,87,False
2015-07-05,91,False
2015-07-12,87,False
2015-07-19,95,False
2015-07-26,89,False
2015-08-02,87,False
2015-08-09,83,False
2015-08-16,85,False
2015-08-23,84,False
2015-08-30,87,False
2015-09-06,85,False
2015-09-13,86,False
2015-09-20,84,False
2015-09-27,83,False
2015-10-04,91,False
2015-10-11,92,False
2015-10-18,90,False
2015-10-25,100,False
2015-11-01,86,False
2015-11-08,85,False
2015-11-15,98,False
2015-11-22,82,False
2015-11-29,80,False
2015-12-06,74,False
2015-12-13,78,False
2015-12-20,86,False
2015-12-27,83,False
