date,scared,isPartial
2011-01-02,58,False
2011-01-09,84,False
2011-01-16,100,False
2011-01-23,76,False
2011-01-30,75,False
2011-02-06,65,False
2011-02-13,68,False
2011-02-20,63,False
2011-02-27,66,False
2011-03-06,59,False
2011-03-13,70,False
2011-03-20,67,False
2011-03-27,66,False
2011-04-03,60,False
2011-04-10,60,False
2011-04-17,61,False
2011-04-24,62,False
2011-05-01,63,False
2011-05-08,60,False
2011-05-15,64,False
2011-05-22,60,False
2011-05-29,59,False
2011-06-05,55,False
2011-06-12,57,False
2011-06-19,59,False
2011-06-26,57,False
2011-07-03,61,False
2011-07-10,60,False
2011-07-17,59,False
2011-07-24,55,False
2011-07-31,61,False
2011-08-07,73,False
2011-08-14,84,False
2011-08-21,75,False
2011-08-28,67,False
2011-09-04,78,False
2011-09-11,69,False
2011-09-18,67,False
2011-09-25,63,False
2011-10-02,66,False
2011-10-09,69,False
2011-10-16,70,False
2011-10-23,72,False
2011-10-30,71,False
2011-11-06,59,False
2011-11-13,60,False
2011-11-20,62,False
2011-11-27,70,False
2011-12-04,66,False
2011-12-11,66,False
2011-12-18,81,False
2011-12-25,90,False
