date,scared,isPartial
2012-01-01,95,False
2012-01-08,100,False
2012-01-15,87,False
2012-01-22,77,False
2012-01-29,78,False
2012-02-05,73,False
2012-02-12,65,False
2012-02-19,69,False
2012-02-26,74,False
2012-03-04,75,False
2012-03-11,68,False
2012-03-18,70,False
2012-03-25,71,False
2012-04-01,71,False
2012-04-08,81,False
2012-04-15,67,False
2012-04-22,82,False
2012-04-29,74,False
2012-05-06,81,False
2012-05-13,81,False
2012-05-20,70,False
2012-05-27,72,False
2012-06-03,74,False
2012-06-10,68,False
2012-06-17,72,False
2012-06-24,69,False
2012-07-01,80,False
2012-07-08,79,False
2012-07-15,77,False
2012-07-22,78,False
2012-07-29,72,False
2012-08-05,72,False
2012-08-12,81,False
2012-08-19,96,False
2012-08-26,91,False
2012-09-02,83,False
2012-09-09,80,False
2012-09-16,81,False
2012-09-23,83,False
2012-09-30,90,False
2012-10-07,83,False
2012-10-14,99,False
2012-10-21,91,False
2012-10-28,95,False
2012-11-04,86,False
2012-11-11,75,False
2012-11-18,85,False
2012-11-25,89,False
2012-12-02,81,False
2012-12-09,76,False
2012-12-16,88,False
2012-12-23,88,False
2012-12-30,89,False
