date,woeful,isPartial
2012-01-01,16,False
2012-01-08,37,False
2012-01-15,7,False
2012-01-22,14,False
2012-01-29,22,False
2012-02-05,22,False
2012-02-12,65,False
2012-02-19,7,False
2012-02-26,22,False
2012-03-04,7,False
2012-03-11,22,False
2012-03-18,29,False
2012-03-25,15,False
2012-04-01,30,False
2012-04-08,23,False
2012-04-15,36,False
2012-04-22,43,False
2012-04-29,43,False
2012-05-06,7,False
2012-05-13,29,False
2012-05-20,7,False
2012-05-27,15,False
2012-06-03,0,False
2012-06-10,7,False
2012-06-17,15,False
2012-06-24,22,False
2012-07-01,0,False
2012-07-08,7,False
2012-07-15,29,False
2012-07-22,14,False
2012-07-29,7,False
2012-08-05,36,False
2012-08-12,29,False
2012-08-19,36,False
2012-08-26,21,False
2012-09-02,50,False
2012-09-09,41,False
2012-09-16,83,False
2012-09-23,41,False
2012-09-30,40,False
2012-10-07,40,False
2012-10-14,13,False
2012-10-21,19,False
2012-10-28,20,False
2012-11-04,13,False
2012-11-11,100,False
2012-11-18,7,False
2012-11-25,25,False
2012-12-02,25,False
2012-12-09,44,False
2012-12-16,33,False
2012-12-23,7,False
2012-12-30,13,False
