date,woeful,isPartial
2013-01-06,42,False
2013-01-13,41,False
2013-01-20,52,False
2013-01-27,30,False
2013-02-03,20,False
2013-02-10,51,False
2013-02-17,31,False
2013-02-24,100,False
2013-03-03,41,False
2013-03-10,30,False
2013-03-17,51,False
2013-03-24,42,False
2013-03-31,51,False
2013-04-07,62,False
2013-04-14,61,False
2013-04-21,73,False
2013-04-28,0,False
2013-05-05,31,False
2013-05-12,53,False
2013-05-19,32,False
2013-05-26,33,False
2013-06-02,42,False
2013-06-09,43,False
2013-06-16,11,False
2013-06-23,33,False
2013-06-30,34,False
2013-07-07,32,False
2013-07-14,52,False
2013-07-21,42,False
2013-07-28,10,False
2013-08-04,21,False
2013-08-11,42,False
2013-08-18,31,False
2013-08-25,71,False
2013-09-01,62,False
2013-09-08,40,False
2013-09-15,40,False
2013-09-22,31,False
2013-09-29,80,False
2013-10-06,81,False
2013-10-13,51,False
2013-10-20,60,False
2013-10-27,10,False
2013-11-03,40,False
2013-11-10,60,False
2013-11-17,59,False
2013-11-24,53,False
2013-12-01,47,False
2013-12-08,59,False
2013-12-15,41,False
2013-12-22,35,False
2013-12-29,53,False
