date,woeful,isPartial
2016-01-03,76,False
2016-01-10,33,False
2016-01-17,41,False
2016-01-24,41,False
2016-01-31,73,False
2016-02-07,60,False
2016-02-14,66,False
2016-02-21,79,False
2016-02-28,45,False
2016-03-06,86,False
2016-03-13,53,False
2016-03-20,62,False
2016-03-27,40,False
2016-04-03,87,False
2016-04-10,67,False
2016-04-17,100,False
2016-04-24,80,False
2016-05-01,66,False
2016-05-08,48,False
2016-05-15,48,False
2016-05-22,35,False
2016-05-29,28,False
2016-06-05,42,False
2016-06-12,49,False
2016-06-19,14,False
2016-06-26,57,False
2016-07-03,45,False
2016-07-10,22,False
2016-07-17,43,False
2016-07-24,21,False
2016-07-31,79,False
2016-08-07,30,False
2016-08-14,15,False
2016-08-21,44,False
2016-08-28,34,False
2016-09-04,49,False
2016-09-11,41,False
2016-09-18,40,False
2016-09-25,67,False
2016-10-02,60,False
2016-10-09,20,False
2016-10-16,54,False
2016-10-23,94,False
2016-10-30,13,False
2016-11-06,37,False
2016-11-13,59,False
2016-11-20,55,False
2016-11-27,68,False
2016-12-04,67,False
2016-12-11,82,False
2016-12-18,48,False
2016-12-25,42,False
