date,woeful,isPartial
2015-01-04,41,False
2015-01-11,6,False
2015-01-18,29,False
2015-01-25,29,False
2015-02-01,22,False
2015-02-08,17,False
2015-02-15,23,False
2015-02-22,22,False
2015-03-01,28,False
2015-03-08,29,False
2015-03-15,35,False
2015-03-22,51,False
2015-03-29,30,False
2015-04-05,35,False
2015-04-12,40,False
2015-04-19,53,False
2015-04-26,24,False
2015-05-03,48,False
2015-05-10,55,False
2015-05-17,25,False
2015-05-24,19,False
2015-05-31,13,False
2015-06-07,32,False
2015-06-14,6,False
2015-06-21,0,False
2015-06-28,20,False
2015-07-05,6,False
2015-07-12,19,False
2015-07-19,13,False
2015-07-26,25,False
2015-08-02,6,False
2015-08-09,13,False
2015-08-16,37,False
2015-08-23,6,False
2015-08-30,6,False
2015-09-06,30,False
2015-09-13,70,False
2015-09-20,52,False
2015-09-27,40,False
2015-10-04,47,False
2015-10-11,52,False
2015-10-18,51,False
2015-10-25,28,False
2015-11-01,56,False
2015-11-08,39,False
2015-11-15,39,False
2015-11-22,37,False
2015-11-29,49,False
2015-12-06,100,False
2015-12-13,51,False
2015-12-20,20,False
2015-12-27,36,False
