date,woeful,isPartial
2014-01-05,66,False
2014-01-12,66,False
2014-01-19,74,False
2014-01-26,25,False
2014-02-02,51,False
2014-02-09,32,False
2014-02-16,32,False
2014-02-23,24,False
2014-03-02,95,False
2014-03-09,41,False
2014-03-16,24,False
2014-03-23,57,False
2014-03-30,49,False
2014-04-06,17,False
2014-04-13,58,False
2014-04-20,33,False
2014-04-27,91,False
2014-05-04,50,False
2014-05-11,26,False
2014-05-18,74,False
2014-05-25,40,False
2014-06-01,48,False
2014-06-08,10,False
2014-06-15,20,False
2014-06-22,10,False
2014-06-29,32,False
2014-07-06,20,False
2014-07-13,20,False
2014-07-20,29,False
2014-07-27,20,False
2014-08-03,21,False
2014-08-10,19,False
2014-08-17,19,False
2014-08-24,28,False
2014-08-31,0,False
2014-09-07,81,False
2014-09-14,100,False
2014-09-21,64,False
2014-09-28,46,False
2014-10-05,36,False
2014-10-12,72,False
2014-10-19,64,False
2014-10-26,36,False
2014-11-02,45,False
2014-11-09,45,False
2014-11-16,27,False
2014-11-23,38,False
2014-11-30,34,False
2014-12-07,62,False
2014-12-14,56,False
2014-12-21,11,False
2014-12-28,30,False
