geoName,separation
Alabama,73
Alaska,76
Arizona,64
Arkansas,59
California,59
Colorado,71
Connecticut,66
Delaware,100
District of Columbia,73
Florida,53
Georgia,78
Hawaii,83
Idaho,62
Illinois,56
Indiana,66
Iowa,57
Kansas,59
Kentucky,69
Louisiana,67
Maine,53
Maryland,88
Massachusetts,65
Michigan,63
Minnesota,53
Mississippi,71
Missouri,56
Montana,78
Nebraska,65
Nevada,64
New Hampshire,65
New Jersey,61
New Mexico,79
New York,55
North Carolina,91
North Dakota,59
Ohio,65
Oklahoma,89
Oregon,63
Pennsylvania,62
Rhode Island,55
South Carolina,82
South Dakota,52
Tennessee,77
Texas,57
Utah,58
Vermont,60
Virginia,93
Washington,64
West Virginia,78
Wisconsin,57
Wyoming,69
