date,separation,isPartial
2012-01-01,52,False
2012-01-08,55,False
2012-01-15,71,False
2012-01-22,66,False
2012-01-29,60,False
2012-02-05,65,False
2012-02-12,55,False
2012-02-19,63,False
2012-02-26,100,False
2012-03-04,61,False
2012-03-11,59,False
2012-03-18,56,False
2012-03-25,53,False
2012-04-01,50,False
2012-04-08,52,False
2012-04-15,53,False
2012-04-22,57,False
2012-04-29,51,False
2012-05-06,53,False
2012-05-13,46,False
2012-05-20,45,False
2012-05-27,41,False
2012-06-03,44,False
2012-06-10,43,False
2012-06-17,44,False
2012-06-24,42,False
2012-07-01,41,False
2012-07-08,42,False
2012-07-15,44,False
2012-07-22,45,False
2012-07-29,47,False
2012-08-05,42,False
2012-08-12,45,False
2012-08-19,51,False
2012-08-26,50,False
2012-09-02,56,False
2012-09-09,62,False
2012-09-16,63,False
2012-09-23,59,False
2012-09-30,56,False
2012-10-07,58,False
2012-10-14,56,False
2012-10-21,56,False
2012-10-28,50,False
2012-11-04,51,False
2012-11-11,57,False
2012-11-18,46,False
2012-11-25,51,False
2012-12-02,51,False
2012-12-09,49,False
2012-12-16,42,False
2012-12-23,30,False
2012-12-30,39,False
