date,separation,isPartial
2014-01-05,76,False
2014-01-12,81,False
2014-01-19,86,False
2014-01-26,81,False
2014-02-02,78,False
2014-02-09,84,False
2014-02-16,83,False
2014-02-23,90,False
2014-03-02,80,False
2014-03-09,81,False
2014-03-16,81,False
2014-03-23,80,False
2014-03-30,81,False
2014-04-06,81,False
2014-04-13,82,False
2014-04-20,86,False
2014-04-27,85,False
2014-05-04,84,False
2014-05-11,79,False
2014-05-18,74,False
2014-05-25,78,False
2014-06-01,74,False
2014-06-08,71,False
2014-06-15,72,False
2014-06-22,68,False
2014-06-29,75,False
2014-07-06,72,False
2014-07-13,72,False
2014-07-20,71,False
2014-07-27,72,False
2014-08-03,70,False
2014-08-10,59,False
2014-08-17,68,False
2014-08-24,80,False
2014-08-31,81,False
2014-09-07,90,False
2014-09-14,95,False
2014-09-21,92,False
2014-09-28,100,False
2014-10-05,88,False
2014-10-12,88,False
2014-10-19,91,False
2014-10-26,88,False
2014-11-02,89,False
2014-11-09,81,False
2014-11-16,82,False
2014-11-23,61,False
2014-11-30,78,False
2014-12-07,81,False
2014-12-14,78,False
2014-12-21,46,False
2014-12-28,56,False
