geoName,separation
Alabama,81
Alaska,90
Arizona,68
Arkansas,69
California,70
Colorado,74
Connecticut,72
Delaware,100
District of Columbia,71
Florida,64
Georgia,79
Hawaii,75
Idaho,75
Illinois,61
Indiana,81
Iowa,61
Kansas,62
Kentucky,74
Louisiana,75
Maine,68
Maryland,100
Massachusetts,70
Michigan,60
Minnesota,69
Mississippi,58
Missouri,74
Montana,69
Nebraska,68
Nevada,71
New Hampshire,60
New Jersey,66
New Mexico,97
New York,64
North Carolina,100
North Dakota,68
Ohio,79
Oklahoma,76
Oregon,49
Pennsylvania,72
Rhode Island,64
South Carolina,80
South Dakota,79
Tennessee,77
Texas,68
Utah,63
Vermont,81
Virginia,66
Washington,73
West Virginia,72
Wisconsin,67
Wyoming,78
