geoName,separation
Alabama,76
Alaska,83
Arizona,72
Arkansas,68
California,68
Colorado,68
Connecticut,70
Delaware,91
District of Columbia,88
Florida,56
Georgia,77
Hawaii,87
Idaho,74
Illinois,59
Indiana,73
Iowa,61
Kansas,66
Kentucky,72
Louisiana,69
Maine,58
Maryland,99
Massachusetts,70
Michigan,61
Minnesota,63
Mississippi,54
Missouri,68
Montana,67
Nebraska,82
Nevada,61
New Hampshire,65
New Jersey,63
New Mexico,91
New York,65
North Carolina,94
North Dakota,75
Ohio,74
Oklahoma,76
Oregon,48
Pennsylvania,69
Rhode Island,66
South Carolina,80
South Dakota,55
Tennessee,75
Texas,66
Utah,69
Vermont,66
Virginia,100
Washington,71
West Virginia,63
Wisconsin,63
Wyoming,86
